IP,丢包率,平均延迟(ms),抖动(ms),最小延迟(ms),最大延迟(ms),下载速度(Mbps),地区码,地区
104.18.189.163,0.00%,72,1.8,70,74,0.00,N/A,
104.18.53.234,0.00%,72,2.9,69,76,0.00,N/A,
104.18.111.34,0.00%,72,2.2,68,74,0.00,N/A,
104.18.106.117,0.00%,72,2.2,69,75,0.00,N/A,
104.18.58.114,0.00%,72,0.7,72,73,0.00,N/A,
104.18.107.95,0.00%,73,1.7,70,75,0.00,N/A,
104.18.128.241,0.00%,73,3.3,69,78,0.00,N/A,
104.18.199.123,0.00%,73,1.8,70,74,0.00,N/A,
104.18.7.27,0.00%,73,2.6,70,77,0.00,N/A,
104.18.229.171,0.00%,73,5.3,69,82,0.00,N/A,
